,ARI,NMI,Homogeneity,Completeness,V-Measure,Silhouette
leiden,0.04116425799814649,0.17790759971737777,0.19667947857668355,0.16240683912905476,0.1779075997173778,0.16375101548990348
louvain,0.041160658755593584,0.16903428173762475,0.17853119947399695,0.16049670399603122,0.16903428173762472,0.15503964565054001
gmm_cluster,0.031095684152448375,0.11797376095170138,0.10369083364984225,0.13682008808346371,0.11797376095170138,0.24740736833211807
kmeans,0.03392276059294115,0.12049003960501355,0.10565501881063932,0.1401715225613909,0.12049003960501353,0.37905559982796194
