Dimension,Correlation,PValue,AbsCorrelation
1,-0.31213458410340916,0.0,0.31213458410340916
0,0.2977801267725464,0.0,0.2977801267725464
4,0.24877043516547018,0.0,0.24877043516547018
13,-0.15991622291652494,0.0,0.15991622291652494
6,0.11222174723603524,0.0,0.11222174723603524
15,0.10929715513000522,0.0,0.10929715513000522
7,-0.10909094575906597,0.0,0.10909094575906597
2,-0.10726785144504976,0.0,0.10726785144504976
10,0.09953081946417631,0.0,0.09953081946417631
16,-0.09250414627197033,0.0,0.09250414627197033
41,0.07740250440905197,4.577212606076626e-270,0.07740250440905197
3,-0.07598493645681441,2.5841344788149134e-260,0.07598493645681441
18,-0.07149404388330373,1.2730781200159545e-230,0.07149404388330373
9,-0.0693050698584424,8.25412560314015e-217,0.0693050698584424
37,0.06545774209593969,1.3929656989497757e-193,0.06545774209593969
14,0.06210431180545554,1.9995145442814296e-174,0.06210431180545554
24,0.06182399834325737,7.184409141822487e-173,0.06182399834325737
11,0.055326735539632146,8.505029426717772e-139,0.055326735539632146
12,-0.04614387454490393,4.222624731900477e-97,0.04614387454490393
17,-0.04589424237829797,4.504219431869788e-96,0.04589424237829797
44,-0.044939876861233484,3.4080306609715546e-92,0.044939876861233484
29,0.04143692739414064,1.179873858865608e-78,0.04143692739414064
23,-0.04060670097747774,1.3184580498598725e-75,0.04060670097747774
25,0.04046304313824727,4.377937950666806e-75,0.04046304313824727
38,-0.04038834133239367,8.157671428426287e-75,0.04038834133239367
5,0.03680046007535699,2.0298186685556986e-62,0.03680046007535699
27,-0.035785705451571254,4.028263501937442e-59,0.035785705451571254
33,0.02859187142693471,2.261859920571902e-38,0.02859187142693471
40,0.02759309075695137,7.439985574496343e-36,0.02759309075695137
49,0.02730302971560569,3.854662224588662e-35,0.02730302971560569
31,0.025315636198555768,1.9061256494418856e-30,0.025315636198555768
30,0.02252178213669582,1.9381754856630905e-24,0.02252178213669582
28,-0.022107924752481828,1.3137818666874658e-23,0.022107924752481828
36,-0.021436759273807393,2.717769680721998e-22,0.021436759273807393
19,0.01898626522970346,7.94891016822893e-18,0.01898626522970346
45,-0.018407351137439527,7.552704927299291e-17,0.018407351137439527
35,-0.018108909483096625,2.347751627736759e-16,0.018108909483096625
42,0.017857374172900085,6.02147264529553e-16,0.017857374172900085
46,-0.014559008522674922,4.262883936663568e-11,0.014559008522674922
26,-0.012375525468158597,2.0762041235776628e-08,0.012375525468158597
43,0.01042896397737993,2.315057603164545e-06,0.01042896397737993
20,-0.009975474827884207,6.232094505642536e-06,0.009975474827884207
39,0.009045382737640202,4.1843393038162406e-05,0.009045382737640202
32,-0.008905538447484146,5.490217464754782e-05,0.008905538447484146
22,-0.007849879702398714,0.00037719869788884337,0.007849879702398714
8,0.0065036193663848335,0.0032217188977989725,0.0065036193663848335
47,-0.0033013393077244916,0.1348367913001216,0.0033013393077244916
34,0.0024745782604355315,0.2623619882722129,0.0024745782604355315
48,0.001514246414843891,0.49280376871154513,0.001514246414843891
21,0.0006277633416439543,0.7761526821139937,0.0006277633416439543
