names,scores,logfoldchanges,pvals,pvals_adj
BRIP1,79.57549,3.7394798,0.0,0.0
ATP11A,-55.591324,-1.7796999,0.0,0.0
EYS,-55.44139,-5.9927645,0.0,0.0
KCNIP4,-54.78129,-5.8130693,0.0,0.0
TTLL11,-54.73079,-1.2020688,0.0,0.0
DLGAP2,-54.65332,-2.2746036,0.0,0.0
MARCHF4,-54.364525,-1.1105235,0.0,0.0
KLHL13,-54.31415,-1.7260404,0.0,0.0
ERC2,-53.913998,-0.93516773,0.0,0.0
OSBPL3,-53.901875,-1.6987867,0.0,0.0
MAPK4,-53.883915,-1.3867226,0.0,0.0
EGFLAM,-53.853477,-1.5746434,0.0,0.0
GRIA1,-53.696846,-0.9429293,0.0,0.0
PTCHD1,-55.970978,-2.0880337,0.0,0.0
RAPGEF5,-53.429398,-1.947893,0.0,0.0
CTNNA3,-52.96641,-1.4784577,0.0,0.0
C2CD6,-52.901955,-1.5976055,0.0,0.0
HS6ST2,-52.568867,-1.7900121,0.0,0.0
TMEM163,-52.465878,-2.3528361,0.0,0.0
DAB1,-52.011818,-1.729845,0.0,0.0
SDK1,-51.56926,-1.7107966,0.0,0.0
NEGR1,-51.232594,-2.0228877,0.0,0.0
TH,-50.955658,-1.8353565,0.0,0.0
STAC,-50.78177,-0.9044425,0.0,0.0
KLHL29,-50.411003,-1.7329006,0.0,0.0
LONRF2,-50.35228,-1.5938022,0.0,0.0
DPH6,-50.20622,-1.3807238,0.0,0.0
CDH12,-53.311256,-1.1634995,0.0,0.0
NYAP2,-56.03256,-1.4979047,0.0,0.0
PCDH7,-56.14361,-2.4736483,0.0,0.0
LRTM1,-56.159832,-2.3001285,0.0,0.0
GRIK2,-67.32931,-1.89336,0.0,0.0
LPAR1,-67.26079,-1.8747746,0.0,0.0
GRIA4,-67.25541,-1.1025146,0.0,0.0
PRR16,-67.08941,-2.2425444,0.0,0.0
SUPT3H,-66.29447,-1.5785601,0.0,0.0
NCKAP5,-65.96979,-2.5352871,0.0,0.0
CPEB4,-65.82047,-1.0762218,0.0,0.0
HYDIN,-65.43714,-2.234557,0.0,0.0
HDAC9,-64.37516,-2.1406467,0.0,0.0
EPHA6,-63.59743,-3.9123693,0.0,0.0
PCSK2,-63.54273,-3.180136,0.0,0.0
ARHGEF7,-63.110508,-1.4143765,0.0,0.0
PAG1,-61.4425,-1.1299902,0.0,0.0
DMD,-61.362923,-1.3034521,0.0,0.0
KCNQ1,-61.22143,-1.5627141,0.0,0.0
TPST1,-61.161407,-1.7272018,0.0,0.0
DYNC1I1,-61.10557,-2.5980432,0.0,0.0
RNF144A,-60.996353,-1.4643041,0.0,0.0
SYN2,-60.29811,-1.6656135,0.0,0.0
