,ARI,NMI,Homogeneity,Completeness,V-Measure,Silhouette
leiden,0.09810461793498552,0.4137480583151342,0.6982209336628629,0.29397514559377463,0.41374805831513417,0.17853885533065092
louvain,0.13434815511984757,0.43071736368755303,0.6875769817332453,0.31357461683897875,0.4307173636875531,0.16187298388367274
gmm_cluster,0.28564436969882856,0.48304737834189626,0.6115856552664324,0.39915591775747994,0.4830473783418963,0.25825037733603057
kmeans,0.3888289230505082,0.5204604187732144,0.6528667467362415,0.4327046365871875,0.5204604187732144,0.3981987931135243
