Dimension,Correlation,PValue,AbsCorrelation
118,0.21881944983602256,0.0,0.21881944983602256
91,0.19425512271967987,0.0,0.19425512271967987
195,0.19425293244905611,0.0,0.19425293244905611
116,0.18444155944292473,0.0,0.18444155944292473
76,-0.18368876401955558,0.0,0.18368876401955558
139,-0.17569409632697922,0.0,0.17569409632697922
105,-0.17089424972479383,1.54162602165e-313,0.17089424972479383
119,0.16747391134859435,5.0546265885014496e-301,0.16747391134859435
158,0.162025326512457,1.2299509554742963e-281,0.162025326512457
39,0.15711841716590264,9.370758690638162e-265,0.15711841716590264
75,0.15112635397451019,7.069481428431605e-245,0.15112635397451019
175,-0.15098450008324926,2.0425317819183e-244,0.15098450008324926
24,0.14975345650538424,1.9496826073358012e-240,0.14975345650538424
83,-0.1493498904767971,3.8657463633674635e-239,0.1493498904767971
157,-0.14384963801656425,8.020436824715125e-222,0.14384963801656425
12,0.14355768932051136,6.374758503554691e-221,0.14355768932051136
167,0.141983908009396,4.213970843964645e-216,0.141983908009396
125,-0.1417418352613732,2.2973093545970393e-215,0.1417418352613732
50,-0.13846841333328969,1.5588413513781843e-205,0.13846841333328969
16,-0.13654367052517094,7.285967124302176e-200,0.13654367052517094
59,-0.13638783816404218,2.0793244811924596e-199,0.13638783816404218
82,-0.13361467178469363,2.1515536012291574e-191,0.13361467178469363
150,-0.1335673854450987,2.937239546510029e-191,0.1335673854450987
79,0.13144358719839228,3.080997211029342e-185,0.13144358719839228
17,-0.12732091363022136,7.794179031142917e-174,0.12732091363022136
6,-0.12166378588009776,8.516064314421523e-159,0.12166378588009776
115,0.12121423146140549,1.2449998501973677e-157,0.12121423146140549
181,-0.12056810479702008,5.777244490091131e-156,0.12056810479702008
58,-0.12051794825502112,7.775113829139577e-156,0.12051794825502112
80,-0.12044842477159834,1.173294410529657e-155,0.12044842477159834
161,-0.1201427265331885,7.143399128010283e-155,0.1201427265331885
69,0.11887312937151268,1.2306000102853923e-151,0.11887312937151268
34,-0.11860728378897958,5.798201939513556e-151,0.11860728378897958
109,-0.11738952316931381,6.716831809730512e-148,0.11738952316931381
197,-0.1161031473398353,1.0677663271418388e-144,0.1161031473398353
7,0.11539066819536967,6.109767670868555e-143,0.11539066819536967
67,0.11535634047834607,7.420357169064202e-143,0.11535634047834607
