names,scores,logfoldchanges,pvals,pvals_adj
GALNTL6,57.5666,4.064947,0.0,0.0
SLC35F3,-41.751717,-2.4952457,0.0,0.0
SHISA9,-39.863834,-1.2169032,0.0,0.0
IQCJ-SCHIP1,-39.661087,-2.0524995,0.0,0.0
DLGAP1,-38.531326,-4.0826125,0.0,0.0
FMN1,-55.25961,-2.8967087,0.0,0.0
ROBO2,38.36852,3.6097636,0.0,0.0
TFAP2B,38.636166,1.4395552,0.0,0.0
RPS15,38.872677,0.78214884,0.0,0.0
NRG3,-55.64088,-1.5508409,0.0,0.0
CYB561,39.89686,0.7052725,0.0,0.0
IL7,51.371284,4.8839755,0.0,0.0
GAP43,45.67434,0.533708,0.0,0.0
MAP1B,44.416695,0.7975623,0.0,0.0
GNAS,44.160545,5.27032,0.0,0.0
KRT19,42.859753,2.2828627,0.0,0.0
SLCO3A1,39.50433,1.7543869,0.0,0.0
PEG10,41.611797,1.6244414,0.0,0.0
TENM4,-37.527744,-0.8711663,3.2503768763953446e-308,3.376970502107584e-306
TAFA5,-37.52066,-1.1623534,4.240942197703913e-308,4.185809949133762e-306
PDE4D,-37.150734,-3.7275178,4.2663108564178697e-302,4.0103322050327976e-300
IGKC,36.195103,0.8900099,7.269787027932492e-287,6.5229816332448825e-285
DSCAM,-36.001392,-3.0950336,7.956318876206653e-284,6.8285971572312746e-282
GRIP1,-35.8636,-0.84118354,1.1287741918969675e-281,9.284167728352558e-280
CLU,35.094757,3.472208,8.103370623546243e-270,6.398421444352114e-268
HPGD,34.79502,1.938771,2.8928277890138513e-265,2.1963238675051317e-263
DLC1,34.313854,8.84245,4.876806186657931e-258,3.565487189801021e-256
FTH1,33.84161,2.1656864,4.822467128689426e-251,3.3998393257260453e-249
UTRN,33.696083,1.1632532,6.596944621663006e-249,4.490471959711301e-247
PRICKLE1,-33.41779,-1.4318014,7.562990697334316e-245,4.97644787884598e-243
MARCHF1,-33.242577,-0.7596764,2.613451184870991e-242,1.664178270624302e-240
FTL,32.921192,2.1567225,1.0935107238764949e-237,6.541182330097579e-236
LSAMP,-32.910675,-3.4242985,1.5463614376974804e-237,8.977992582396549e-236
GALNT13,-32.831455,-1.3805252,2.0953414139625294e-236,1.1817725574748666e-234
OSBPL3,32.713547,1.7680541,1.0023051679371614e-234,5.495973337522102e-233
SEMA3D,31.544157,1.5868413,2.1564748999315802e-218,1.1505085006661998e-216
DLGAP2,-31.378336,-0.9236103,3.9966512349100015e-216,2.076155141503248e-214
SCG2,31.308752,0.76550937,3.54694912191977e-215,1.795301940171699e-213
MGAT4C,31.206507,1.9591949,8.694713465612638e-214,4.290841095279837e-212
CALCA,30.879045,4.0551333,2.2834171304728694e-209,1.0993818086715717e-207
TBX20,30.15828,1.122041,8.354162565382211e-200,3.926456405729639e-198
CRH,30.145494,1.0997347,1.2288701985873483e-199,5.641371562817268e-198
PRPH,30.077265,1.6981857,9.610425092698983e-199,4.311586166588135e-197
TENM1,29.607754,1.3504741,1.1874750795051368e-192,5.0958169716155215e-191
SLC18A1,29.561289,1.586343,4.702141664537097e-192,1.974899499105581e-190
TENM3,29.520252,6.2991843,1.582602978037914e-191,6.508454747180921e-190
SST,29.488789,1.2745757,4.008649477838565e-191,1.6149130753578217e-189
SLC18A2,29.345121,0.67090327,2.7578020018994605e-189,1.0887802303499071e-187
NDUFA4,29.276089,1.1403688,2.090829388280134e-188,8.092739632284283e-187
ADCY1,29.21642,1.1129119,1.1997618121777863e-187,4.554480417767211e-186
