,ARI,NMI,Homogeneity,Completeness,V-Measure,Silhouette
leiden,0.007123741514482325,0.10415161653046841,0.15716553762496507,0.07788127777210115,0.10415161653046841,0.2655343262088255
louvain,0.00842517314450908,0.10430572389267516,0.1536645762665023,0.0789470209003988,0.10430572389267516,0.28080767265826573
gmm_cluster,0.08022678044853662,0.15192055459564238,0.1303431405662866,0.1820592095787126,0.15192055459564238,0.5308325108110626
kmeans,0.07805907958472343,0.14924127180119048,0.11973189470417571,0.19805410794033484,0.1492412718011905,0.5906568844738286
